QuestIndex;QuestName;Group;Type;LineIndex;EnglishText;ChineseText
4;Hunt for the Butcher;BichonProvince;TaskDescription;0;Collect {Deer Meat/LightSteelBlue} by Hunting {Deer's/Crimson};猎杀 {Deer's/Crimson} 来收集 {Deer Meat/LightSteelBlue}。
4;Hunt for the Butcher;BichonProvince;GotoMessage;0;Return to Butcher John at 293:603;回到坐标 293:603 找 Butcher John 复命。
5;The Smith's 1st Test;BichonProvince;Description;0;Young traveller my name is {Smith/LimeGreen}.;年轻的旅行者，我叫 {Smith/LimeGreen}。
5;The Smith's 1st Test;BichonProvince;Description;1;There are so my monsters outside the village;村外的怪物实在太多了，
5;The Smith's 1st Test;BichonProvince;Description;2;I don't know how I'll make it to {BichonWall/Yellow};我都不知道自己还能不能安全到达 {BichonWall/Yellow}。
5;The Smith's 1st Test;BichonProvince;Description;3;Can you help me?;你能帮帮我吗？
5;The Smith's 1st Test;BichonProvince;TaskDescription;0;Eliminate 10 {Deer/Crimson} and {Scarecrow's/Crimson}.;消灭 10 只 {Deer/Crimson} 和 {Scarecrow's/Crimson}。
5;The Smith's 1st Test;BichonProvince;GotoMessage;0;Return to Blacksmith Smith at 297:612;回到坐标 297:612 找铁匠 Smith 报告。
6;Smith's 2nd Test;BichonProvince;Description;0;Traveller.. I still think its to dangerous outside.;旅行者……我还是觉得村外太危险了。
6;Smith's 2nd Test;BichonProvince;Description;1;Can you do a another favour for me?;你能再帮我一个忙吗？
6;Smith's 2nd Test;BichonProvince;TaskDescription;0;Eliminate 10 {HookingCat's/Crimson};消灭 10 只 {HookingCat's/Crimson}。
6;Smith's 2nd Test;BichonProvince;GotoMessage;0;Return to Blacksmith Smith at 297:612;回到坐标 297:612 找铁匠 Smith 报告。
7;Meet the Warrior Instructor;BichonProvince;Description;0;Hello young traveller. Have you heard;你好，年轻的旅行者。你听说过
7;Meet the Warrior Instructor;BichonProvince;Description;1;of the Warrior Instructor in this region?;这片地区的战士导师吗？
7;Meet the Warrior Instructor;BichonProvince;Description;2;He is the master of all Warriors. I hear;他是所有战士的师父，据说
7;Meet the Warrior Instructor;BichonProvince;Description;3;hes been looking for a new disciple lately.;最近一直在寻找新的弟子。
7;Meet the Warrior Instructor;BichonProvince;Description;4;It could be a rumor.;也许只是个传闻。
7;Meet the Warrior Instructor;BichonProvince;TaskDescription;0;Speak with {Master_Wa/LimeGreen} at Coordinates 110:317;在坐标 110:317 处与 {Master_Wa/LimeGreen} 交谈。
7;Meet the Warrior Instructor;BichonProvince;GotoMessage;0;Speak to Master_Wa at 110:317;前往 110:317 找 Master_Wa 谈话。
8;Test for the Fencing Skill;BichonProvince;Description;0;{Assistant Jane/LimeGreen} sent you? ;是 {Assistant Jane/LimeGreen} 把你介绍来的？
8;Test for the Fencing Skill;BichonProvince;Description;1;I can't reject anyone that she has recommended, ;她推荐的人我不能拒绝，
8;Test for the Fencing Skill;BichonProvince;Description;2;but I cant accept just anyone as my disciple. ;但也不能随便收任何人为弟子。
8;Test for the Fencing Skill;BichonProvince;Description;3;You will have to pass my test.;你得先通过我的试炼。
8;Test for the Fencing Skill;BichonProvince;TaskDescription;0;Eliminate 10 {Oma's/Crimson} and {RakingCat's/Crimson};消灭 10 只 {Oma's/Crimson} 和 {RakingCat's/Crimson}。
8;Test for the Fencing Skill;BichonProvince;GotoMessage;0;Return to Master_Wa at 110:317;返回 110:317 找 Master_Wa 报告。
9;To Bichon;BichonProvince;Description;0;You seem more like a well-trained Warrior now.;你现在看起来已经像一名训练有素的战士了。
9;To Bichon;BichonProvince;Description;1;I have asked Peter to give you some work;我已经让 Peter 给你安排一些工作，
9;To Bichon;BichonProvince;Description;2;to do. The reward should help you in many ways,;报酬应该能在很多方面帮助到你。
9;To Bichon;BichonProvince;TaskDescription;0;Speak to {MirGuide Peter/LimeGreen} Coordinates 328:258;前往坐标 328:258 与 {MirGuide Peter/LimeGreen} 交谈。
9;To Bichon;BichonProvince;GotoMessage;0;Speak to Peter in BichonWall at 328:258;在 {BichonWall/Yellow} 坐标 328:258 找 Peter 谈话。
10;Meet the Mage Instructor;BichonProvince;Description;0;Hello Traveller. Have you heard of the;你好，旅行者。你听说过
10;Meet the Mage Instructor;BichonProvince;Description;1;Wizard Instructor in this region?;这片地区的巫师导师吗？
10;Meet the Mage Instructor;BichonProvince;Description;2;He is the Master of all the Wizards. I hear;他是所有巫师的师父，据说
10;Meet the Mage Instructor;BichonProvince;Description;3;hes been looking for a new disciple lately.;最近也在寻找新的弟子。
10;Meet the Mage Instructor;BichonProvince;Description;4;It could be a rumor;也许只是个传闻。
10;Meet the Mage Instructor;BichonProvince;TaskDescription;0;Speak with {MasterMage/LimeGreen} at Coordinates 314:474;在坐标 314:474 处与 {MasterMage/LimeGreen} 交谈。
10;Meet the Mage Instructor;BichonProvince;GotoMessage;0;Speak with the MasterMage at 314:474;前往 314:474 找 MasterMage 谈话。
11;Test for the Fireball Skill;BichonProvince;Description;0;{Assistant Jane/LimeGreen} sent you? ;是 {Assistant Jane/LimeGreen} 把你介绍来的？
11;Test for the Fireball Skill;BichonProvince;Description;1;I can't reject anyone that she has;她推荐的人我不能拒绝，
11;Test for the Fireball Skill;BichonProvince;Description;2;recommended, but I cant just accept anyone ;但也不能随便收任何人为弟子，
11;Test for the Fireball Skill;BichonProvince;Description;3;as my disciple. You will have to pass my test.;你得先通过我的试炼。
11;Test for the Fireball Skill;BichonProvince;TaskDescription;0;Eliminate 10 {Oma's/Crimson} and {RakingCat's/Crimson};消灭 10 只 {Oma's/Crimson} 和 {RakingCat's/Crimson}。
11;Test for the Fireball Skill;BichonProvince;GotoMessage;0;Return to MasterMage at 314:474;返回 314:474 找 MasterMage 报告。
12;To Bichon;BichonProvince;Description;0;You seem more like a well-trained Wizard now.;你现在看起来已经像一名训练有素的巫师了。
12;To Bichon;BichonProvince;Description;1;I have asked Peter to give you some work;我已经让 Peter 给你安排一些工作，
12;To Bichon;BichonProvince;Description;2;to do. The reward should help you in many ways,;报酬应该能在很多方面帮助到你。
12;To Bichon;BichonProvince;TaskDescription;0;Speak to {MirGuide Peter/LimeGreen} Coordinates 328:258;前往坐标 328:258 与 {MirGuide Peter/LimeGreen} 交谈。
12;To Bichon;BichonProvince;GotoMessage;0;Speak to Peter in BichonWall at 328:258;在 {BichonWall/Yellow} 坐标 328:258 找 Peter 谈话。
13;Meet the Taoist Instructor;BichonProvince;Description;0;Hello Traveller. Have you heard of the;你好，旅行者。你听说过
13;Meet the Taoist Instructor;BichonProvince;Description;1;Taoist Instructor in this region?;这片地区的道士导师吗？
13;Meet the Taoist Instructor;BichonProvince;Description;2;He is the Master of all the Taoists. I hear;他是所有道士的师父，据说
13;Meet the Taoist Instructor;BichonProvince;Description;3;hes been looking for a new disciple lately.;最近也在寻找新的弟子。
13;Meet the Taoist Instructor;BichonProvince;Description;4;It could be a rumor;也许只是个传闻。
13;Meet the Taoist Instructor;BichonProvince;TaskDescription;0;Speak with {HighTaoist/LimeGreen} he was last seen at;去找 {HighTaoist/LimeGreen}，他最后一次出现的位置在
13;Meet the Taoist Instructor;BichonProvince;TaskDescription;1;Coordinates 546:559 but he was heading;坐标 546:559，之后往西北方向离开了。
13;Meet the Taoist Instructor;BichonProvince;TaskDescription;2;North West.;
13;Meet the Taoist Instructor;BichonProvince;GotoMessage;0;Search for the HighPriest Last seen at 429:475 ;前往坐标 429:475 寻找那位高阶道士。
14;Test for the Healing Skill;BichonProvince;Description;0;{Assistant Jane/LimeGreen} sent you? ;是 {Assistant Jane/LimeGreen} 把你介绍来的？
14;Test for the Healing Skill;BichonProvince;Description;1;I can't reject anyone that she has recommended, ;她推荐的人我不能拒绝，
14;Test for the Healing Skill;BichonProvince;Description;2;but I cant accept just anyone as my disciple. ;但也不能随便收任何人为弟子。
14;Test for the Healing Skill;BichonProvince;Description;3;You will have to pass my test.;你得先通过我的试炼。
14;Test for the Healing Skill;BichonProvince;TaskDescription;0;Eliminate 10 {Oma's/Crimson} and {RakingCat's/Crimson};消灭 10 只 {Oma's/Crimson} 和 {RakingCat's/Crimson}。
14;Test for the Healing Skill;BichonProvince;GotoMessage;0;Return to the HighPriest at 429:475;回到坐标 429:475 找高阶道士复命。
15;To Bichon;BichonProvince;Description;0;You seem more like a well-trained Taoist now.;你现在看起来已经像一名训练有素的道士了。
15;To Bichon;BichonProvince;Description;1;I have asked Peter to give you some work;我已经让 Peter 给你安排一些工作，
15;To Bichon;BichonProvince;Description;2;to do. The reward should help you in many ways,;报酬应该能在很多方面帮助到你。
15;To Bichon;BichonProvince;TaskDescription;0;Speak to {MirGuide Peter/LimeGreen} Coordinates 328:258;前往坐标 328:258 与 {MirGuide Peter/LimeGreen} 交谈。
15;To Bichon;BichonProvince;GotoMessage;0;Speak to Peter in BichonWall at 328:258;在 {BichonWall/Yellow} 坐标 328:258 找 Peter 谈话。
16;Meet the Assassin Instructor;BichonProvince;Description;0;Hello Traveller. Have you heard of the;你好，旅行者。你听说过
16;Meet the Assassin Instructor;BichonProvince;Description;1;Assassin Instructor in this region?;这片地区的刺客导师吗？
16;Meet the Assassin Instructor;BichonProvince;Description;2;He is the Master of all the Assassins. I hear;他是所有刺客的师父，据说
16;Meet the Assassin Instructor;BichonProvince;Description;3;hes been looking for a new disciple lately.;最近也在寻找新的弟子。
16;Meet the Assassin Instructor;BichonProvince;Description;4;It could be a rumor;也许只是个传闻。
16;Meet the Assassin Instructor;BichonProvince;TaskDescription;0;Speak with {Cloud/LimeGreen} at Coordinates 101:411;在坐标 101:411 处与 {Cloud/LimeGreen} 交谈。
16;Meet the Assassin Instructor;BichonProvince;GotoMessage;0;Speak with Assassin Cloud at 101:411;前往 101:411 找刺客 Cloud 谈话。
17;Test for FatalSword Skill;BichonProvince;Description;0;Assistant Jane sent you? ;是 Assistant Jane 把你介绍来的？
17;Test for FatalSword Skill;BichonProvince;Description;1;I can't reject anyone that she has recommended, ;她推荐的人我不能拒绝，
17;Test for FatalSword Skill;BichonProvince;Description;2;but I cant accept just anyone as my disciple. ;但也不能随便收任何人为弟子。
17;Test for FatalSword Skill;BichonProvince;Description;3;You will have to pass my test.;你得先通过我的试炼。
17;Test for FatalSword Skill;BichonProvince;TaskDescription;0;Eliminate 10 {Oma's/Crimson} and {RakingCat's/Crimson};消灭 10 只 {Oma's/Crimson} 和 {RakingCat's/Crimson}。
17;Test for FatalSword Skill;BichonProvince;GotoMessage;0;Return to Cloud at 101:411;返回 101:411 找 Cloud 报告。
18;To Bichon;BichonProvince;Description;0;You seem more like a well-trained Assassin now.;你现在看起来已经像一名训练有素的刺客了。
18;To Bichon;BichonProvince;Description;1;I have asked Peter to give you some work;我已经让 Peter 给你安排一些工作，
18;To Bichon;BichonProvince;Description;2;to do. The reward should help you in many ways,;报酬应该能在很多方面帮助到你。
18;To Bichon;BichonProvince;TaskDescription;0;Speak to {MirGuide Peter/LimeGreen} Coordinates 328:258;前往坐标 328:258 与 {MirGuide Peter/LimeGreen} 交谈。
18;To Bichon;BichonProvince;GotoMessage;0;Speak to Peter in BichonWall at 328:258;在 {BichonWall/Yellow} 坐标 328:258 找 Peter 谈话。
19;Meet the Archer Instructor;BichonProvince;Description;0;Hello Traveller. Have you heard about the;你好，旅行者。你听说过
19;Meet the Archer Instructor;BichonProvince;Description;1;Archer Captain Currently protecting the;正在保卫这片地区的弓手队长吗？
19;Meet the Archer Instructor;BichonProvince;Description;2;region? Rumours say they are looking for;听说他们正在寻找
19;Meet the Archer Instructor;BichonProvince;Description;3;disciples to aid in the war;可以在战争中协助他们的弟子。
19;Meet the Archer Instructor;BichonProvince;TaskDescription;0;Speak with {Jerald/LimeGreen} at Coordinates 320:476;在坐标 320:476 处与 {Jerald/LimeGreen} 交谈。
19;Meet the Archer Instructor;BichonProvince;GotoMessage;0;Speak with the Captain at 320:477;前往 320:477 找那位队长谈话。
20;Test for Focus Skill;BichonProvince;Description;0;A Recommendation.. Thats a first.;有人推荐你来……这还是第一次呢。
20;Test for Focus Skill;BichonProvince;Description;1;We need all that is able to help with this war.;这场战争需要所有能出力的人。
20;Test for Focus Skill;BichonProvince;Description;2;Whether they join the Guard or not.;不管他们是否正式加入守卫队。
20;Test for Focus Skill;BichonProvince;Description;3;Please can you assist me with something.;你能帮我做一件事吗？
20;Test for Focus Skill;BichonProvince;TaskDescription;0;Eliminate 10 {Oma's/Crimson} and {RakingCat's/Crimson};消灭 10 只 {Oma's/Crimson} 和 {RakingCat's/Crimson}。
20;Test for Focus Skill;BichonProvince;GotoMessage;0;Return to the Captain at 320:477;完成后回到 320:477 找队长复命。
21;To Bichon;BichonProvince;Description;0;You seem more like a well-trained Archer now.;你现在看起来已经像一名训练有素的弓手了。
21;To Bichon;BichonProvince;Description;1;I have asked {Peter/LimeGreen} to give you some work;我已经让 {Peter/LimeGreen} 给你安排一些工作，
21;To Bichon;BichonProvince;Description;2;to do. The reward should help you in many ways,;报酬应该能在很多方面帮助到你。
21;To Bichon;BichonProvince;TaskDescription;0;Speak to {MirGuide Peter/LimeGreen} Coordinates 328:258;前往坐标 328:258 与 {MirGuide Peter/LimeGreen} 交谈。
21;To Bichon;BichonProvince;GotoMessage;0;Speak to Peter in BichonWall at 328:258;在 {BichonWall/Yellow} 坐标 328:258 找 Peter 谈话。
22;Forest Yeti's Threat;BichonProvince;Description;0;I've been getting reports that {ForestYeti's/Crimson} are;最近一直有报告称 {ForestYeti's/Crimson}
22;Forest Yeti's Threat;BichonProvince;Description;1;attacking only the new Warrior's lately.;专门袭击新来的战士。
22;Forest Yeti's Threat;BichonProvince;Description;2;Do you think you can help?;你觉得能帮忙解决一下吗？
22;Forest Yeti's Threat;BichonProvince;TaskDescription;0;Eliminate 5 {ForestYeti's/Crimson}.;消灭 5 只 {ForestYeti's/Crimson}。
22;Forest Yeti's Threat;BichonProvince;GotoMessage;0;Return to MirGuide Peter in BichonWall;然后回到 {BichonWall/Yellow} 找 MirGuide Peter 报告。
23;!Attack Oma;BichonProvince;Description;0;There are creatures named {Oma/Crimson} outside;村外有一种叫 {Oma/Crimson} 的怪物。
23;!Attack Oma;BichonProvince;Description;1;{BichonWall/Yellow} and other towns. ;在 {BichonWall/Yellow} 以及其他城镇附近都能看到它们。
23;!Attack Oma;BichonProvince;Description;2;They are very strong and violent. They have ;它们非常强壮而且暴躁，
23;!Attack Oma;BichonProvince;Description;3;been attacking the merchants. Hey, would you ;一直在袭击来往的商人。嘿，
23;!Attack Oma;BichonProvince;Description;4;be able to help us eliminate the danager?;你能帮我们消除这份威胁吗？
23;!Attack Oma;BichonProvince;TaskDescription;0;Please hunt {Oma's/Crimson} and bring back 10 ;请猎杀 {Oma's/Crimson}，并带回 10 个
23;!Attack Oma;BichonProvince;TaskDescription;1;{OmaTeeth's/LightSteelBlue};{OmaTeeth's/LightSteelBlue}。
24;Help Blacksmith Jang;BichonProvince;Description;0;{Blacksmith Jang/LimeGreen}, has requested some help.;{Blacksmith Jang/LimeGreen} 请求你的帮助。
24;Help Blacksmith Jang;BichonProvince;Description;1;Please can you go speak to him he is located;能否去找他谈谈，他现在在
24;Help Blacksmith Jang;BichonProvince;Description;2;in {WoomyonWoods/Yellow} If you follow the path North;{WoomyonWoods/Yellow}。沿着北边的小路走
24;Help Blacksmith Jang;BichonProvince;Description;3;it will lead you to {WoomyonWoods/Yellow} town.;就能到达 {WoomyonWoods/Yellow} 小镇。
24;Help Blacksmith Jang;BichonProvince;TaskDescription;0;Travel to {WoomyonWoods/Yellow} and speak to {Jang/LimeGreen}.;前往 {WoomyonWoods/Yellow}，与 {Jang/LimeGreen} 交谈。
24;Help Blacksmith Jang;BichonProvince;GotoMessage;0;Speak to Blacksmith Jang in WoomyonWoods;去雾隐森林找铁匠 Jang 谈话。
25;Hunt CannibalPlants;WoomyonWoods;Description;0;Hello traveller. Thankyou for coming.;你好，旅行者。谢谢你特地赶来。
25;Hunt CannibalPlants;WoomyonWoods;Description;1;The reason I asked for you was to get some;我请你来的原因是希望你帮忙
25;Hunt CannibalPlants;WoomyonWoods;Description;2;help keeping {WoomyonWoods/Yellow} safe. You ;守护 {WoomyonWoods/Yellow} 的安全。
25;Hunt CannibalPlants;WoomyonWoods;Description;3;probably have seen some {CannibalPlant's/Crimson} ;你在路上应该见过一些 {CannibalPlant's/Crimson}，
25;Hunt CannibalPlants;WoomyonWoods;Description;4;on the way here from {BichonWall/Yellow}. We need ;就是从 {BichonWall/Yellow} 来这里一路上的那些。我们需要
25;Hunt CannibalPlants;WoomyonWoods;Description;5;to hunt them down to keep merchants safe ;把它们清理掉，
25;Hunt CannibalPlants;WoomyonWoods;Description;6;from dangerous attacks.;才能保障商人的安全。
25;Hunt CannibalPlants;WoomyonWoods;TaskDescription;0;Please collect 10 {CannibalStem/LightSteelBlue} and ;请收集 10 个 {CannibalStem/LightSteelBlue} 和
25;Hunt CannibalPlants;WoomyonWoods;TaskDescription;1;{CannibalLeafs/LightSteelBlue} From {CannibalPlant's/Crimson} and deliver ;{CannibalLeafs/LightSteelBlue}，都从 {CannibalPlant's/Crimson} 身上取得，随后
25;Hunt CannibalPlants;WoomyonWoods;TaskDescription;2;to {MirGuide/LimeGreen} in {BichonWall/Yellow};交给 {BichonWall/Yellow} 的 {MirGuide/LimeGreen}。
25;Hunt CannibalPlants;WoomyonWoods;GotoMessage;0;Return to MirGuide Peter in BichonWall;回到比奇城墙找 MirGuide Peter 报告。
26;Ingredients for the Antidote;BichonProvince;Description;0;There have been icreasing numbers of ;最近镇子附近的怪物数量不断增加，
26;Ingredients for the Antidote;BichonProvince;Description;1;{SpittlingSpider's/Crimson} around the town. This monster ;尤其是 {SpittlingSpider's/Crimson}。这种怪物带有剧毒，
26;Ingredients for the Antidote;BichonProvince;Description;2;is poisonous and the antidote can only be made ;解毒剂只能用它们掉落的
26;Ingredients for the Antidote;BichonProvince;Description;3;from the {PoisonSack/LightSteelBlue}.;{PoisonSack/LightSteelBlue} 来炼制。
26;Ingredients for the Antidote;BichonProvince;TaskDescription;0;Please find {PoisonSack's/LightSteelBlue} by hunting ;请通过猎杀
26;Ingredients for the Antidote;BichonProvince;TaskDescription;1;{SpittingSpider's/Crimson}.;{SpittingSpider's/Crimson} 来收集 {PoisonSack's/LightSteelBlue}。
26;Ingredients for the Antidote;BichonProvince;GotoMessage;0;Return to MirGuide Peter in BichonWall;然后回到比奇城墙找 MirGuide Peter 报告。
27;Errands;BichonProvince;Description;0;You came right on time. {MongchonScout/LimeGreen} came ;你来得正好，{MongchonScout/LimeGreen} 刚刚来过，
27;Errands;BichonProvince;Description;1;by earlier and left a message for you. Please go ;留下了一条给你的信息。请你去
27;Errands;BichonProvince;Description;2;to the {Tavern/Yellow};{Tavern/Yellow} 一趟。
27;Errands;BichonProvince;TaskDescription;0;Go speak to {MongchonScout/LimeGreen} in the {Tavern/Yellow};去 {Tavern/Yellow} 与 {MongchonScout/LimeGreen} 交谈。
27;Errands;BichonProvince;GotoMessage;0;Speak with MongchonScout at the Tavern 290:293;在坐标 290:293 的酒馆内与 MongchonScout 谈话。
28;Find the Web;BichonProvince;Description;0;Hello traveller. You are quite famous around ;你好，旅行者。你在这一带可是小有名气，
28;Find the Web;BichonProvince;Description;1;here. Could you help me as well? ;能顺便也帮帮我吗？
28;Find the Web;BichonProvince;Description;2;The demand for medicine has been increasing, ;最近药品的需求不断增加，
28;Find the Web;BichonProvince;Description;3;and we are short on the ingredients for the ;而药材的存量越来越少。
28;Find the Web;BichonProvince;Description;4;medicine. We are especially short on {Web's/LightSteelBlue} ;特别是 {Web's/LightSteelBlue} 奇缺，
28;Find the Web;BichonProvince;Description;5;which can be found from {SpittingSpiders/Crimson} could you ;那是从 {SpittingSpiders/Crimson} 身上才能获得的。你能帮我
28;Find the Web;BichonProvince;Description;6;please get some for me?;收集一些回来吗？
28;Find the Web;BichonProvince;TaskDescription;0;Please collect 10 {Web's/LightSteelBlue} from {SpittingSpider's/Crimson};请从 {SpittingSpider's/Crimson} 身上收集 10 个 {Web's/LightSteelBlue}。
28;Find the Web;BichonProvince;GotoMessage;0;Return to Samuel at 324:291;完成后回到 324:291 找 Samuel 报告。
29;Deliver Repair Oil;BichonProvince;Description;0;Can you please do me a favour. Can you ;能请你帮我一个忙吗？你可以
29;Deliver Repair Oil;BichonProvince;Description;1;deliver these to {Bradly/LimeGreen} in {SerpentValley/Yellow}? ;把这些东西送到 {SerpentValley/Yellow} 的 {Bradly/LimeGreen} 手上吗？
29;Deliver Repair Oil;BichonProvince;Description;2;Hes ran out of {RepairOil's/LightSteelBlue}. But he needs them ;他的 {RepairOil's/LightSteelBlue} 已经用完了，
29;Deliver Repair Oil;BichonProvince;Description;3;to repair weapons. Please deliver them quickly.;而修理武器又离不开它们，请尽快送去。
29;Deliver Repair Oil;BichonProvince;TaskDescription;0;Deliver {RepairOil/LightSteelBlue} to {Bradly/LimeGreen}.;把 {RepairOil/LightSteelBlue} 交给 {Bradly/LimeGreen}。
29;Deliver Repair Oil;BichonProvince;GotoMessage;0;Travel to SerpentValley and Deliver to Bradly at 517:492 ;前往蛇谷，在 517:492 处把物品交给 Bradly。
30;Lost Ring;SerpentValley;Description;0;Hello traveller. I was returning to {SerpentValley/Yellow};你好，旅行者。我原本要返回 {SerpentValley/Yellow}，
30;Lost Ring;SerpentValley;Description;1;from {MongchonProvince/Yellow}. But I was attacked by ;从 {MongchonProvince/Yellow} 回来的路上，
30;Lost Ring;SerpentValley;Description;2;{Currish/Crimson} and dropped my bag. My priceless ;遭到 {Currish/Crimson} 袭击，把行囊都掉在了路上，
30;Lost Ring;SerpentValley;Description;3;{JadeRing/LightSteelBlue} was in the bag.;里面有一枚珍贵的 {JadeRing/LightSteelBlue}。
30;Lost Ring;SerpentValley;TaskDescription;0;Find the {JadeRing/LightSteelBlue} from {Currish/Crimson}.;请从 {Currish/Crimson} 身上找回那枚 {JadeRing/LightSteelBlue}。
30;Lost Ring;SerpentValley;GotoMessage;0;Return to Blacksmith Bradly in SerpentValley;然后回到蛇谷找铁匠 Bradly。
31;Deliver the Ring;SerpentValley;Description;0;The Ring still look's perfect.;戒指依然完好无损。
31;Deliver the Ring;SerpentValley;Description;1;Please can you deliver the ring to my Daughter ;能否请你把这枚戒指交给我的女儿，
31;Deliver the Ring;SerpentValley;Description;2;{Melissa/LimeGreen}. She also requires some help.;{Melissa/LimeGreen}？她那边也需要人帮忙。
31;Deliver the Ring;SerpentValley;TaskDescription;0;Please take the {JadeRing/LightSteelBlue} to {Melissa/LimeGreen}.;请把这枚 {JadeRing/LightSteelBlue} 交给 {Melissa/LimeGreen}。
31;Deliver the Ring;SerpentValley;GotoMessage;0;Deliver the JadeRing to Melissa in SerpentValley;在蛇谷把 JadeRing 交给 Melissa。
32;Messenger;SerpentValley;Description;0;Thankyou, I remember this Ring it used to ;谢谢你，我记得这枚戒指，
32;Messenger;SerpentValley;Description;1;belong to my grandmother. Please take this Gift ;它曾属于我的祖母。请把这份礼物
32;Messenger;SerpentValley;Description;2;back to {Bradly/LimeGreen} to show my gratitude.;带回给 {Bradly/LimeGreen}，表示我的谢意。
32;Messenger;SerpentValley;TaskDescription;0;Please take this {BluePill/LightSteelBlue} to {Bradly/LimeGreen};请把这枚 {BluePill/LightSteelBlue} 交给 {Bradly/LimeGreen}。
32;Messenger;SerpentValley;GotoMessage;0;Deliver BluePill to Blacksmith Bradly;把 BluePill 交给铁匠 Bradly。
33;Cure the Insomnia;SerpentValley;Description;0;Please help me. I recently moved here, and i see ;请帮帮我。我刚搬到这里，
33;Cure the Insomnia;SerpentValley;Description;1;Snakes everywhere! I cant go to sleep knowing ;到处都是蛇！一想到它们，
33;Cure the Insomnia;SerpentValley;Description;2;the Snakes are crawling under my bed.;我就担心它们会爬到床底下，根本睡不着。
33;Cure the Insomnia;SerpentValley;TaskDescription;0;Please eliminate 10 {RedSnake/Crimson} and {TigerSnake's/Crimson}.;请消灭 10 只 {RedSnake/Crimson} 和 {TigerSnake's/Crimson}。
33;Cure the Insomnia;SerpentValley;GotoMessage;0;Return to Robert at 505:479;完成后回到 505:479 找 Robert。
34;Secret Recipe Delivery;SerpentValley;Description;0;Are you going to {Bichon/Yellow} anytime soon? If you ;你最近会去 {Bichon/Yellow} 吗？如果会的话，
34;Secret Recipe Delivery;SerpentValley;Description;1;go there, could you deliver this {SercetRecipe/LightSteelBlue} ;能顺便把这份 {SercetRecipe/LightSteelBlue}
34;Secret Recipe Delivery;SerpentValley;Description;2;to {CraftsLady/LimeGreen}? I hear the {CraftsLady/LimeGreen} in {Bichon/Yellow} ;交给 {Bichon/Yellow} 的 {CraftsLady/LimeGreen} 吗？听说那边的 {CraftsLady/LimeGreen}
34;Secret Recipe Delivery;SerpentValley;Description;3;wants my {SecretRecipe/LightSteelBlue}. I'm too busy to go ;一直想要我的 {SecretRecipe/LightSteelBlue}，只是我实在太忙，
